algoritmo,semilla,factor_carga,fin,instante_final,duracion_dias,ciclos,pedidos_completos,paquetes_entregados,holgura_real_promedio_min,holgura_real_minima_min,ejecuciones,Ta_total_ms,Ta_promedio_ms,Ta_max_ms,distancia_despachada_km,tiempo_rutas_despachadas_min,vehiculos_utilizados,utilizacion_capacidad
TS,1,1.0,COLAPSO_PLANIFICACION,2026-01-01T05:00,0.20833333333333334,31,1,2,2031.0,2031.0,2,414.1752,207.0876,291.8122,50.0,195.0,1,0.08333333333333333
ALNS,1,1.0,COLAPSO_PLANIFICACION,2026-01-01T05:00,0.20833333333333334,31,1,2,2031.0,2031.0,2,184.7311,92.36555,94.6612,50.0,195.0,1,0.08333333333333333
