algoritmo,semilla,factor_carga,fin,instante_final,duracion_dias,ciclos,pedidos_completos,paquetes_entregados,holgura_real_promedio_min,holgura_real_minima_min,ejecuciones,Ta_total_ms,Ta_promedio_ms,Ta_max_ms,distancia_despachada_km,tiempo_rutas_despachadas_min,vehiculos_utilizados,utilizacion_capacidad
TS,1,1.0,LIMITE_DE_CICLOS,2026-01-01T02:00,0.08333333333333333,12,0,0,,,1,320.3748,320.3748,320.3748,50.0,195.0,1,0.08333333333333333
ALNS,1,1.0,LIMITE_DE_CICLOS,2026-01-01T02:00,0.08333333333333333,12,0,0,,,1,131.3133,131.3133,131.3133,50.0,195.0,1,0.08333333333333333
