algoritmo,semilla,iteraciones,candidatos,inserciones_iniciales,Ta_ms,objetivo,costo_soles,km,tiempo_rutas_min,pedidos_totales,pedidos_completos,paquetes_pendientes,cumplimiento_pedidos,cumplimiento_paquetes,vehiculos,utilizacion,factible,completa,parada
TS-estricto,20262,20,5659,4772,927.206,27009540.00,9540.00,1570.00,8594.000,36,29,27,0.805556,0.835366,25,0.761111,true,false,MAX_ITERACIONES
ALNS-estricto,20262,20,17159,4772,773.376,27009284.00,9284.00,1560.00,8793.200,36,29,27,0.805556,0.835366,25,0.778409,true,false,MAX_ITERACIONES
TS-estricto,20263,20,5836,4772,415.165,27009098.00,9098.00,1454.00,7898.800,36,29,27,0.805556,0.835366,23,0.796512,true,false,MAX_ITERACIONES
ALNS-estricto,20263,20,16604,4772,660.060,27008778.00,8778.00,1510.00,8798.400,36,29,27,0.805556,0.835366,25,0.815476,true,false,MAX_ITERACIONES
TS-estricto,20264,20,5959,4772,355.097,27008722.00,8722.00,1436.00,8181.200,36,29,27,0.805556,0.835366,24,0.796512,true,false,MAX_ITERACIONES
ALNS-estricto,20264,20,17174,4772,517.881,27008754.00,8754.00,1460.00,8454.200,36,29,27,0.805556,0.835366,24,0.815476,true,false,MAX_ITERACIONES
