algoritmo,semilla,iteraciones,candidatos,inserciones_iniciales,Ta_ms,objetivo,costo_soles,km,tiempo_rutas_min,pedidos_totales,pedidos_completos,paquetes_pendientes,cumplimiento_pedidos,cumplimiento_paquetes,vehiculos,utilizacion,factible,completa,parada
TS-estricto,20262,20,5659,4772,440.677,27009540.00,9540.00,1570.00,8594.000,36,29,27,0.805556,0.835366,25,0.761111,true,false,MAX_ITERACIONES
ALNS-estricto,20262,20,16981,4772,747.035,27009180.00,9180.00,1526.00,8531.600,36,29,27,0.805556,0.835366,24,0.796512,true,false,MAX_ITERACIONES
ALNS-estricto,20263,20,16563,4772,633.301,27008542.00,8542.00,1458.00,8444.400,36,29,27,0.805556,0.835366,24,0.835366,true,false,MAX_ITERACIONES
TS-estricto,20263,20,5836,4772,448.381,27009098.00,9098.00,1454.00,7898.800,36,29,27,0.805556,0.835366,23,0.796512,true,false,MAX_ITERACIONES
TS-estricto,20264,20,5959,4772,328.186,27008722.00,8722.00,1436.00,8181.200,36,29,27,0.805556,0.835366,24,0.796512,true,false,MAX_ITERACIONES
ALNS-estricto,20264,20,17225,4772,657.652,27008430.00,8430.00,1406.00,8204.600,36,29,27,0.805556,0.835366,24,0.815476,true,false,MAX_ITERACIONES
