algoritmo,semilla,factor_carga,fin,instante_final,duracion_dias,ciclos,pedidos_completos,paquetes_entregados,holgura_real_promedio_min,holgura_real_minima_min,ejecuciones,Ta_total_ms,Ta_promedio_ms,Ta_max_ms,distancia_despachada_km,tiempo_rutas_despachadas_min,vehiculos_utilizados,utilizacion_capacidad
TS,1,1.0,LIMITE_DE_CICLOS,2026-01-21T00:00,20.0,2880,364,1940,940.0370879120879,0.5,1896,165961.64359999998,87.53251244725737,456.9733,19342.0,61413.0,9,0.26871584699453555
ALNS,1,1.0,LIMITE_DE_CICLOS,2026-01-21T00:00,20.0,2880,364,1937,944.559065934066,1.5,1995,169828.0885000001,85.12686140350883,268.0637,19368.0,61692.0,10,0.2626869658119658
