algoritmo,semilla,iteraciones,candidatos,inserciones_iniciales,Ta_ms,objetivo,costo_soles,km,tiempo_rutas_min,pedidos_totales,pedidos_completos,paquetes_pendientes,cumplimiento_pedidos,cumplimiento_paquetes,vehiculos,utilizacion,factible,completa,parada
TS-estricto,20262,20,5836,5528,474.624,46008596.00,8596.00,1384.00,7970.200,36,26,46,0.722222,0.764103,25,0.792553,true,false,MAX_ITERACIONES
ALNS-estricto,20262,20,21520,5528,1354.072,46008774.00,8774.00,1402.00,8069.400,36,26,46,0.722222,0.764103,25,0.809783,true,false,MAX_ITERACIONES
ALNS-estricto,20263,20,22953,5528,1199.321,46008448.00,8448.00,1328.00,7731.200,36,26,46,0.722222,0.764103,25,0.809783,true,false,MAX_ITERACIONES
TS-estricto,20263,20,5869,5528,697.014,46008430.00,8430.00,1300.00,7269.000,36,26,46,0.722222,0.764103,23,0.827778,true,false,MAX_ITERACIONES
TS-estricto,20264,20,5887,5528,697.285,46008544.00,8544.00,1342.00,7529.400,36,26,46,0.722222,0.764103,24,0.809783,true,false,MAX_ITERACIONES
ALNS-estricto,20264,20,22707,5528,1284.360,46008814.00,8814.00,1378.00,7684.000,36,26,46,0.722222,0.764103,24,0.809783,true,false,MAX_ITERACIONES
