algoritmo,semilla,factor_carga,fin,instante_final,duracion_dias,ciclos,pedidos_completos,paquetes_entregados,holgura_real_promedio_min,holgura_real_minima_min,ejecuciones,Ta_total_ms,Ta_promedio_ms,Ta_max_ms,distancia_despachada_km,tiempo_rutas_despachadas_min,vehiculos_utilizados,utilizacion_capacidad
TS,1,1.0,LIMITE_DE_CICLOS,2026-01-01T08:00,0.3333333333333333,48,1,2,2031.0,2031.0,14,1342.7056,95.90754285714286,286.983,128.0,432.0,1,0.16666666666666666
ALNS,1,1.0,LIMITE_DE_CICLOS,2026-01-01T08:00,0.3333333333333333,48,1,2,2031.0,2031.0,14,1170.5910999999999,83.61364999999999,191.1596,128.0,432.0,1,0.16666666666666666
